"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660021.000000,0.519401,-0.536379,2.833305,2.833305,0.693147,0.693147,2.204944,-2.197225,-1.173191,-0.255498,3.730880,6.910000,-53.231250,-47.742512,120.462500,129.123577
660022.000000,1.289758,0.032845,2.674205,2.674205,0.693147,0.693147,2.016239,-2.197225,-1.965454,-0.271839,6.569890,6.910000,-61.676067,-56.154246,137.352133,146.013210
660023.000000,2.246066,0.267669,0.479880,0.479880,0.693147,0.693147,2.431991,-2.197225,-0.835776,-0.558816,3.353890,6.910000,-45.248406,-39.501546,104.496811,113.157889
660024.000000,0.412055,-0.363568,2.484211,2.484211,0.693147,0.693147,1.830601,-2.197225,-1.897306,0.180225,3.384239,6.910000,-65.367362,-59.747587,144.734725,153.395802
660025.000000,0.340500,0.599079,2.066484,2.066484,0.693147,0.693147,1.989271,-2.197225,-3.760324,0.459247,6.778516,6.910000,-78.923366,-73.281130,171.846733,180.507810
660026.000000,2.927566,0.418707,1.841601,1.841601,0.693147,0.693147,2.053111,-2.197225,-0.208368,-0.504228,1.792105,6.910000,-31.395407,-25.735765,76.790813,85.451891
660027.000000,1.022037,-0.205026,2.154025,2.154025,0.693147,0.693147,1.754842,-2.197225,-2.434810,0.182650,5.793840,6.910000,-68.140288,-62.467651,150.280576,158.941653
660028.000000,1.511990,0.193151,3.083923,3.083923,0.693147,0.693147,1.908055,-2.197225,-1.378906,0.653149,8.134774,6.910000,-75.954706,-70.634365,165.909411,174.570489
660029.000000,0.914033,0.017838,2.560478,2.560478,0.693147,0.693147,2.303573,-2.197225,-3.187082,0.634929,0.830044,6.910000,-24.856672,-19.463012,63.713344,72.374421
660030.000000,-0.690750,0.509474,2.213013,2.213013,0.693147,0.693147,1.881631,-2.197225,-0.550312,-0.307075,5.473896,6.910000,-65.149086,-59.476960,144.298173,152.959250
660031.000000,1.724375,-0.193682,1.995943,1.995943,0.693147,0.693147,2.128483,-2.197225,-0.717667,-0.521468,5.351820,6.910000,-46.010787,-40.326036,106.021574,114.682651
660032.000000,1.027442,-0.054581,1.096185,1.096185,0.693147,0.693147,2.171169,-2.197225,-1.596633,-0.146892,2.223273,6.910000,-39.148117,-33.411676,92.296234,100.957312
660033.000000,1.454689,0.412009,2.482664,2.482664,0.693147,0.693147,2.117429,-2.197225,-3.051062,-0.322372,4.823807,6.910000,-38.121106,-32.536114,90.242213,98.903290
660034.000000,0.706244,1.070348,2.145695,2.145695,0.693147,0.693147,1.778686,-2.197225,-2.022600,0.641253,3.632063,6.910000,-63.844861,-58.156206,141.689722,150.350799
660035.000000,0.506396,0.623596,0.958588,0.958588,0.693147,0.693147,1.917981,-2.197225,3.307683,0.079036,4.849522,6.910000,-58.303201,-52.530695,130.606401,139.267478
660036.000000,1.285386,1.397166,3.085903,3.085903,0.693147,0.693147,2.663609,-2.197225,-0.493427,-1.142262,2.762259,6.910000,-29.254908,-23.959373,72.509817,81.170894
660037.000000,1.309934,0.474002,2.114295,2.114295,0.693147,0.693147,1.708164,-2.197225,-1.022782,0.090324,4.182993,6.910000,-63.230249,-57.524712,140.460497,149.121575
660038.000000,0.390954,-0.257598,3.313412,3.313412,0.693147,0.693147,1.933304,-2.197225,-0.240073,0.235082,1.745642,6.910000,-38.985606,-33.786351,91.971211,100.632288
660039.000000,0.963774,1.138758,2.072686,2.072686,0.693147,0.693147,1.868491,-2.197225,-4.353544,-1.493688,9.245957,6.910000,-88.816088,-83.252215,191.632175,200.293253
660040.000000,1.288038,0.384959,3.838710,3.838710,0.693147,0.693147,1.885632,-2.197225,-5.077289,1.409436,4.478039,6.910000,-53.907556,-49.297713,121.815113,130.476190
