"posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LP","LL","AIC","BIC"
1.098612,0.000000,0.500000,0.500000,0.693147,0.693147,1.609438,-6.193755,0.000000,0.000000,6.000000,8.500000,-75.849722,-81.635755,177.271510,185.932587
0.000000,-0.847298,0.250000,0.250000,0.693147,0.693147,0.916291,-6.193755,0.000000,0.500000,9.500000,8.500000,-119.763176,-125.480496,264.960992,273.622069
