"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660001.000000,0.776499,0.615562,9.325412,9.325412,2.000000,2.000000,6.384275,0.100000,0.606881,1.125914,4.526231,0.999003,-56.410237,-50.737322,126.820475,135.481552
660002.000000,0.882367,0.432091,41.058255,41.058255,2.000000,2.000000,8.455227,0.100000,0.250151,-0.694897,3.177818,0.999003,-43.038571,-38.224291,100.077142,108.738219
660003.000000,0.719876,0.677469,4.111291,4.111291,2.000000,2.000000,4.916589,0.100000,0.518170,1.326304,7.924448,0.999003,-74.380773,-68.662354,162.761545,171.422622
660004.000000,0.813680,0.552259,1.572938,1.572938,2.000000,2.000000,6.287192,0.100000,0.287537,0.323959,4.093396,0.999003,-45.891500,-40.085100,105.782999,114.444076
660005.000000,0.730107,0.506194,25.379418,25.379418,2.000000,2.000000,10.824471,0.100000,0.376539,-0.254529,4.787445,0.999003,-51.216192,-45.951441,116.432384,125.093461
660006.000000,0.726181,0.566278,6.390292,6.390292,2.000000,2.000000,7.104304,0.100000,0.560373,0.697571,9.228211,0.999003,-72.811898,-67.184043,159.623797,168.284874
660007.000000,0.740885,0.499389,1.274025,1.274025,2.000000,2.000000,6.729405,0.100000,0.519598,0.170734,2.056455,0.999003,-43.107261,-37.335093,100.214522,108.875600
660008.000000,0.883597,0.525088,4.479034,4.479034,2.000000,2.000000,7.496028,0.100000,0.208442,0.100983,7.996960,0.999003,-51.357847,-45.672757,116.715694,125.376771
660009.000000,0.599836,0.462668,2.409852,2.409852,2.000000,2.000000,6.939767,0.100000,0.269016,-0.691885,2.718321,0.999003,-49.857169,-44.076206,113.714338,122.375415
660010.000000,0.735464,0.375440,2.966338,2.966338,2.000000,2.000000,8.522820,0.100000,0.194331,-0.205053,5.550496,0.999003,-47.232874,-41.476446,108.465748,117.126826
660011.000000,0.637742,0.702917,2.556202,2.556202,2.000000,2.000000,6.791413,0.100000,0.943607,1.999158,4.340478,0.999003,-40.857535,-35.094314,95.715070,104.376147
660012.000000,0.918513,0.564415,7.372447,7.372447,2.000000,2.000000,5.936394,0.100000,0.276042,0.121624,7.888152,0.999003,-65.573438,-59.924003,145.146875,153.807952
660013.000000,0.770656,0.719964,64.835600,64.835600,2.000000,2.000000,8.368459,0.100000,0.463219,-0.590488,4.195532,0.999003,-52.394501,-48.591678,118.789002,127.450079
660014.000000,0.629355,0.800841,7.663150,7.663150,2.000000,2.000000,8.472923,0.100000,0.284832,0.409185,2.849421,0.999003,-48.730313,-43.051596,111.460626,120.121704
660015.000000,0.896439,0.585862,17.770209,17.770209,2.000000,2.000000,7.822992,0.100000,0.404503,-0.670724,8.061829,0.999003,-67.587372,-62.178645,149.174744,157.835821
660016.000000,0.516154,0.455732,8.384032,8.384032,2.000000,2.000000,8.101731,0.100000,0.985922,-0.630731,1.886499,0.999003,-39.990249,-34.379691,93.980498,102.641575
660017.000000,0.692666,0.619341,9.941293,9.941293,2.000000,2.000000,6.312435,0.100000,0.563862,0.593648,3.995901,0.999003,-57.740256,-52.071171,129.480513,138.141590
660018.000000,0.688012,0.507080,12.734087,12.734087,2.000000,2.000000,6.426429,0.100000,0.248293,-0.536216,0.789685,0.999003,-33.410649,-27.969061,80.821297,89.482374
660019.000000,0.759447,0.492048,21.040708,21.040708,2.000000,2.000000,6.584144,0.100000,0.201459,-0.572154,11.889583,0.999003,-85.592344,-80.372650,185.184688,193.845765
660020.000000,0.745635,0.567753,3.391912,3.391912,2.000000,2.000000,7.570657,0.100000,0.347778,0.711863,9.426239,0.999003,-67.261157,-61.594939,148.522314,157.183391
