"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660061.000000,0.664304,0.698987,12.672859,12.672859,2.000000,2.000000,6.731152,0.100000,0.292853,-0.167843,7.463968,0.999003,-73.924346,-68.368497,161.848691,170.509768
660062.000000,0.692564,0.502511,17.095578,17.095578,2.000000,2.000000,5.640003,0.100000,0.427936,0.160662,1.149037,0.999003,-38.576658,-33.163321,91.153315,99.814393
660063.000000,0.570794,0.641102,9.007455,9.007455,2.000000,2.000000,5.797454,0.100000,0.012668,0.711790,6.223907,0.999003,-78.977875,-73.338864,171.955750,180.616828
660064.000000,0.594493,0.417953,41.269331,41.269331,2.000000,2.000000,5.845995,0.100000,0.189372,0.272039,6.703757,0.999003,-85.724327,-80.913398,185.448654,194.109731
660065.000000,0.566629,0.601316,7.632074,7.632074,2.000000,2.000000,6.695401,0.100000,0.731059,-1.023903,7.287668,0.999003,-84.445755,-78.785718,182.891511,191.552588
660066.000000,0.808747,0.278832,6.156645,6.156645,2.000000,2.000000,8.254635,0.100000,0.239020,1.152465,1.475909,0.999003,-21.953144,-16.316360,57.906288,66.567365
660067.000000,0.872438,0.571330,9.129027,9.129027,2.000000,2.000000,8.569600,0.100000,0.327490,-0.529076,2.958383,0.999003,-53.636627,-47.988049,121.273254,129.934331
660068.000000,0.806330,0.435288,23.602678,23.602678,2.000000,2.000000,16.637983,0.100000,0.457005,-0.447998,0.858400,0.999003,-19.359535,-14.264442,52.719071,61.380148
660069.000000,0.900538,0.646118,27.214274,27.214274,2.000000,2.000000,5.394464,0.100000,0.148321,-1.338607,6.730046,0.999003,-60.924985,-55.709638,135.849970,144.511047
660070.000000,0.748226,0.586737,3.167012,3.167012,2.000000,2.000000,7.463209,0.100000,0.053972,0.254974,3.776371,0.999003,-41.542118,-35.777320,97.084236,105.745313
660071.000000,0.848688,0.626495,20.439576,20.439576,2.000000,2.000000,9.432817,0.100000,0.449442,-0.826377,5.122732,0.999003,-42.860597,-37.468305,99.721194,108.382271
660072.000000,0.666833,0.529397,2.549385,2.549385,2.000000,2.000000,9.848520,0.100000,0.214359,-0.421514,7.122150,0.999003,-63.349807,-57.629580,140.699614,149.360691
660073.000000,0.896818,0.701535,3.882492,3.882492,2.000000,2.000000,10.478318,0.100000,0.036996,-0.675462,5.865443,0.999003,-37.161972,-31.468800,88.323944,96.985021
660074.000000,0.806519,0.567985,11.468222,11.468222,2.000000,2.000000,5.933760,0.100000,0.035178,0.969826,7.549097,0.999003,-79.528253,-73.965899,173.056506,181.717583
660075.000000,0.757119,0.662606,10.345954,10.345954,2.000000,2.000000,8.467490,0.100000,0.343481,0.332269,9.047387,0.999003,-63.708807,-58.166106,141.417613,150.078690
660076.000000,0.584857,0.588316,1.759432,1.759432,2.000000,2.000000,6.045093,0.100000,0.088465,-0.452712,3.748996,0.999003,-65.910854,-60.109436,145.821707,154.482785
660077.000000,0.844905,0.517146,4.297560,4.297560,2.000000,2.000000,7.578087,0.100000,0.364970,-0.726043,5.704687,0.999003,-59.422788,-53.681300,132.845576,141.506653
660078.000000,0.703003,0.501398,11.664412,11.664412,2.000000,2.000000,6.850923,0.100000,0.001424,1.165939,6.918834,0.999003,-59.322031,-53.787371,132.644062,141.305139
660079.000000,0.916872,0.721196,5.995124,5.995124,2.000000,2.000000,5.865512,0.100000,0.014575,0.354898,8.677503,0.999003,-73.000004,-67.375420,160.000008,168.661086
660080.000000,0.818944,0.659190,11.730221,11.730221,2.000000,2.000000,8.460042,0.100000,0.587799,0.475977,1.415251,0.999003,-24.879542,-19.351518,63.759084,72.420162
