"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660021.000000,0.627008,0.369030,17.001565,17.001565,2.000000,2.000000,9.069743,0.100000,0.236279,-0.255498,3.730880,0.999003,-53.231250,-47.742512,120.462500,129.123577
660022.000000,0.784106,0.508211,14.500819,14.500819,2.000000,2.000000,7.510027,0.100000,0.122878,-0.271839,6.569890,0.999003,-61.676067,-56.154246,137.352133,146.013210
660023.000000,0.904311,0.566521,1.615880,1.615880,2.000000,2.000000,11.381524,0.100000,0.302425,-0.558816,3.353890,0.999003,-45.248406,-39.501546,104.496811,113.157889
660024.000000,0.601581,0.410096,11.991655,11.991655,2.000000,2.000000,6.237634,0.100000,0.130414,0.180225,3.384239,0.999003,-65.367362,-59.747587,144.734725,153.395802
660025.000000,0.584312,0.645446,7.897011,7.897011,2.000000,2.000000,7.310201,0.100000,0.022747,0.459247,6.778516,0.999003,-78.923366,-73.281130,171.846733,180.507810
660026.000000,0.949192,0.603174,6.306625,6.306625,2.000000,2.000000,7.792108,0.100000,0.448096,-0.504228,1.792105,0.999003,-31.395407,-25.735765,76.790813,85.451891
660027.000000,0.735369,0.448922,8.619483,8.619483,2.000000,2.000000,5.782531,0.100000,0.080557,0.182650,5.793840,0.999003,-68.140288,-62.467651,150.280576,158.941653
660028.000000,0.819356,0.548138,21.843931,21.843931,2.000000,2.000000,6.739968,0.100000,0.201185,0.653149,8.134774,0.999003,-75.954706,-70.634365,165.909411,174.570489
660029.000000,0.713825,0.504459,12.941999,12.941999,2.000000,2.000000,10.009882,0.100000,0.039655,0.634929,0.830044,0.999003,-24.856672,-19.463012,63.713344,72.374421
660030.000000,0.333866,0.624683,9.143223,9.143223,2.000000,2.000000,6.564205,0.100000,0.365792,-0.307075,5.473896,0.999003,-65.149086,-59.476960,144.298173,152.959250
660031.000000,0.848692,0.451730,7.359137,7.359137,2.000000,2.000000,8.402113,0.100000,0.327907,-0.521468,5.351820,0.999003,-46.010787,-40.326036,106.021574,114.682651
660032.000000,0.736420,0.486358,2.992726,2.992726,2.000000,2.000000,8.768528,0.100000,0.168453,-0.146892,2.223273,0.999003,-39.148117,-33.411676,92.296234,100.957312
660033.000000,0.810719,0.601570,11.973113,11.973113,2.000000,2.000000,8.309743,0.100000,0.045172,-0.322372,4.823807,0.999003,-38.121106,-32.536114,90.242213,98.903290
660034.000000,0.669571,0.744663,8.547976,8.547976,2.000000,2.000000,5.922072,0.100000,0.116850,0.641253,3.632063,0.999003,-63.844861,-58.156206,141.689722,150.350799
660035.000000,0.623961,0.651036,2.608011,2.608011,2.000000,2.000000,6.807198,0.100000,0.964691,0.079036,4.849522,0.999003,-58.303201,-52.530695,130.606401,139.267478
660036.000000,0.783365,0.801734,21.887215,21.887215,2.000000,2.000000,14.347981,0.100000,0.379087,-1.142262,2.762259,0.999003,-29.254908,-23.959373,72.509817,81.170894
660037.000000,0.787502,0.616331,8.283744,8.283744,2.000000,2.000000,5.518821,0.100000,0.264486,0.090324,4.182993,0.999003,-63.230249,-57.524712,140.460497,149.121575
660038.000000,0.596512,0.435954,27.478718,27.478718,2.000000,2.000000,6.912311,0.100000,0.440268,0.235082,1.745642,0.999003,-38.985606,-33.786351,91.971211,100.632288
660039.000000,0.723877,0.757451,7.946141,7.946141,2.000000,2.000000,6.478511,0.100000,0.012698,-1.493688,9.245957,0.999003,-88.816088,-83.252215,191.632175,200.293253
660040.000000,0.783815,0.595069,46.465485,46.465485,2.000000,2.000000,6.590518,0.100000,0.006198,1.409436,4.478039,0.999003,-53.907556,-49.297713,121.815113,130.476190
