"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","lps","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710142359308.000000,2.601187,5.173463,-4.440000,-4.440000,0.015888,0.015888,0.920000,-2.197225,-3.080000,2.360000,37.080000,3.085068,-0.431809,-220.834950,-217.423911,461.684606,474.116307,3.619048,5.047619,NaN,NaN,5.047619,3.857143,5.761905,NaN,6.000000,NaN,3.222222,4.194444,NaN,NaN,4.611111,2.250000,4.055556,NaN,4.750000,NaN,1.000000,6.000000,NaN,NaN,6.000000,2.190476,5.285714,NaN,4.095238,NaN
20230710142554812.000000,0.016956,0.156792,-1.720000,-1.720000,0.896325,0.896325,-0.200000,-6.033894,1.040000,-0.040000,22.800000,3.085068,-2.977336,-222.202366,-215.845767,464.419439,476.851140,3.000000,4.809524,NaN,3.857143,NaN,2.809524,3.761905,NaN,NaN,3.904762,2.277778,5.527778,NaN,3.305556,NaN,2.027778,5.388889,NaN,NaN,5.277778,1.238095,5.142857,NaN,2.857143,NaN,1.095238,5.523810,NaN,NaN,4.857143
20230710142601336.000000,-0.177484,-2.919203,-3.080000,-3.080000,0.015888,0.015888,-3.080000,-4.115559,0.200000,0.792000,11.600000,3.085068,-2.409146,-286.125041,-279.080827,592.264789,604.696490,1.000000,6.000000,NaN,4.952381,3.333333,3.904762,3.904762,NaN,NaN,NaN,1.694444,3.055556,NaN,3.472222,3.861111,2.888889,2.138889,NaN,NaN,NaN,1.476190,1.428571,NaN,4.952381,4.238095,2.285714,4.904762,NaN,NaN,NaN
2023071014265986.000000,1.769420,2.323304,-0.200000,-0.200000,1.709035,1.709035,-0.040000,-4.371337,6.480000,-0.216000,6.000000,3.085068,-1.652286,-219.101912,-212.078848,458.218530,470.650231,4.000000,3.238095,NaN,NaN,4.428571,2.619048,2.714286,NaN,NaN,5.619048,2.388889,4.472222,NaN,NaN,4.888889,1.916667,4.500000,NaN,NaN,4.555556,2.904762,4.190476,NaN,NaN,4.761905,1.904762,4.857143,NaN,NaN,4.095238
20230710143008916.000000,0.339192,0.575520,1.240000,1.240000,4.418071,4.418071,-0.360000,0.295223,0.040000,1.304000,0.680000,3.085068,-0.854473,-173.862729,-171.308608,367.740164,380.171866,4.714286,4.666667,NaN,NaN,3.428571,4.809524,4.714286,NaN,NaN,4.619048,4.833333,4.805556,NaN,NaN,4.916667,4.916667,5.000000,NaN,NaN,4.694444,4.523810,4.761905,NaN,NaN,4.666667,5.190476,4.761905,NaN,NaN,5.476190
20230710143135952.000000,0.710684,1.779862,3.160000,3.160000,2.386294,2.386294,-0.440000,-4.115559,-1.040000,1.640000,4.600000,3.085068,-1.211332,-227.781428,-221.661493,475.577562,488.009263,4.333333,5.190476,NaN,NaN,NaN,4.142857,5.238095,NaN,4.238095,4.666667,4.638889,5.138889,NaN,NaN,NaN,3.111111,5.111111,NaN,4.972222,4.194444,5.142857,4.238095,NaN,NaN,NaN,3.000000,5.285714,NaN,4.571429,3.428571
20230710143158544.000000,1.728008,-0.586665,-3.760000,-3.760000,0.015888,0.015888,1.160000,1.448999,-1.000000,0.584000,27.560000,3.085068,-0.263618,-235.158137,-231.562376,490.330981,502.762682,3.095238,5.809524,NaN,NaN,3.904762,2.428571,2.190476,NaN,3.333333,NaN,1.222222,4.083333,NaN,NaN,3.555556,1.555556,3.361111,NaN,3.611111,NaN,1.238095,5.809524,NaN,NaN,4.952381,1.000000,6.000000,NaN,3.619048,NaN
20230710143222400.000000,0.525196,-1.417321,0.520000,0.520000,4.485797,4.485797,0.920000,-1.000000,-1.000000,0.920000,0.400000,3.085068,-0.159045,-215.106709,-215.392522,450.228124,462.659826,4.000000,5.047619,NaN,NaN,NaN,3.714286,5.000000,NaN,4.238095,4.476190,4.694444,4.666667,NaN,NaN,NaN,2.750000,3.888889,NaN,2.333333,4.527778,2.000000,4.714286,NaN,NaN,NaN,2.476190,4.380952,NaN,2.571429,4.952381
20230710143331276.000000,1.000000,0.000000,1.240000,1.240000,1.979939,1.979939,0.000000,1.000000,-0.440000,1.352000,7.400000,3.085068,-1.211332,-248.253422,-241.643097,516.521550,528.953251,5.000000,5.238095,NaN,4.476190,NaN,4.238095,5.000000,NaN,4.000000,NaN,4.055556,5.027778,NaN,3.944444,NaN,2.916667,5.138889,NaN,3.194444,NaN,3.380952,4.523810,NaN,4.095238,NaN,2.857143,4.857143,NaN,3.476190,NaN
20230710143412544.000000,-0.260418,0.533178,3.080000,3.080000,3.876264,3.876264,-0.600000,-9.231119,-0.360000,-1.720000,6.000000,3.085068,-0.789761,-236.512500,-232.179864,493.039707,505.471408,4.857143,3.047619,NaN,NaN,5.047619,3.285714,3.523810,NaN,3.571429,NaN,4.527778,3.361111,NaN,NaN,4.722222,3.361111,3.416667,NaN,2.972222,NaN,4.523810,3.142857,NaN,NaN,5.095238,3.333333,3.714286,NaN,3.523810,NaN
