"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","lps","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710142359308.000000,3.715840,3.287127,0.000000,0.000000,0.000000,0.000000,-0.120000,-3.476114,-5.120000,3.080000,41.840000,0.225229,-2.471671,-156.450330,-151.186338,334.900661,348.510925,3.619048,5.047619,NaN,NaN,5.047619,3.857143,5.761905,NaN,6.000000,NaN,3.222222,4.194444,NaN,NaN,4.611111,2.250000,4.055556,NaN,4.750000,NaN,1.000000,6.000000,NaN,NaN,6.000000,2.190476,5.285714,NaN,4.095238,NaN
20230710142554812.000000,-0.228805,0.156792,0.960000,0.400000,0.960000,0.400000,-0.200000,-3.604003,-3.720000,0.872000,6.000000,1.042048,-3.166005,-224.060990,-217.102891,470.121979,483.732243,3.000000,4.809524,NaN,3.857143,NaN,2.809524,3.761905,NaN,NaN,3.904762,2.277778,5.527778,NaN,3.305556,NaN,2.027778,5.388889,NaN,NaN,5.277778,1.238095,5.142857,NaN,2.857143,NaN,1.095238,5.523810,NaN,NaN,4.857143
20230710142601336.000000,1.000000,-2.135363,0.000000,2.400000,0.000000,2.400000,-1.040000,-2.197225,-2.960000,1.640000,17.480000,0.225229,-1.777336,-261.140690,-254.506182,544.281380,557.891644,1.000000,6.000000,NaN,4.952381,3.333333,3.904762,3.904762,NaN,NaN,NaN,1.694444,3.055556,NaN,3.472222,3.861111,2.888889,2.138889,NaN,NaN,NaN,1.476190,1.428571,NaN,4.952381,4.238095,2.285714,4.904762,NaN,NaN,NaN
2023071014265986.000000,2.115598,2.600246,1.200000,0.600000,1.200000,0.600000,0.120000,-4.371337,5.120000,0.376000,3.480000,7.168192,-0.789761,-216.954904,-211.041330,455.909808,469.520073,4.000000,3.238095,NaN,NaN,4.428571,2.619048,2.714286,NaN,NaN,5.619048,2.388889,4.472222,NaN,NaN,4.888889,1.916667,4.500000,NaN,NaN,4.555556,2.904762,4.190476,NaN,NaN,4.761905,1.904762,4.857143,NaN,NaN,4.095238
20230710143008916.000000,1.678385,-2.817968,2.960000,0.200000,2.960000,0.200000,-0.920000,-2.836669,-3.080000,-1.000000,5.720000,5.126144,-1.843141,-235.681151,-228.833992,493.362302,506.972566,4.714286,4.666667,NaN,NaN,3.428571,4.809524,4.714286,NaN,NaN,4.619048,4.833333,4.805556,NaN,NaN,4.916667,4.916667,5.000000,NaN,NaN,4.694444,4.523810,4.761905,NaN,NaN,4.666667,5.190476,4.761905,NaN,NaN,5.476190
20230710143135952.000000,0.603767,1.352191,3.800000,1.600000,3.800000,1.600000,-0.440000,-7.440673,-0.360000,2.360000,6.000000,3.084096,-1.652286,-222.741461,-216.788000,467.482923,481.093187,4.333333,5.190476,NaN,NaN,NaN,4.142857,5.238095,NaN,4.238095,4.666667,4.638889,5.138889,NaN,NaN,NaN,3.111111,5.111111,NaN,4.972222,4.194444,5.142857,4.238095,NaN,NaN,NaN,3.000000,5.285714,NaN,4.571429,3.428571
20230710143158544.000000,0.653338,-0.793333,0.000000,0.200000,0.000000,0.200000,-0.600000,1.800000,-2.400000,1.304000,27.560000,0.225229,-3.166005,-211.898045,-205.848228,445.796089,459.406353,3.095238,5.809524,NaN,NaN,3.904762,2.428571,2.190476,NaN,3.333333,NaN,1.222222,4.083333,NaN,NaN,3.555556,1.555556,3.361111,NaN,3.611111,NaN,1.238095,5.809524,NaN,NaN,4.952381,1.000000,6.000000,NaN,3.619048,NaN
20230710143222400.000000,-1.000000,-0.208660,1.240000,1.800000,1.240000,1.800000,0.440000,-2.325114,-1.800000,1.880000,4.600000,7.576602,-0.369284,-234.432615,-229.626406,490.865231,504.475495,4.000000,5.047619,NaN,NaN,NaN,3.714286,5.000000,NaN,4.238095,4.476190,4.694444,4.666667,NaN,NaN,NaN,2.750000,3.888889,NaN,2.333333,4.527778,2.000000,4.714286,NaN,NaN,NaN,2.476190,4.380952,NaN,2.571429,4.952381
20230710143331276.000000,0.080000,-2.400000,2.600000,0.600000,2.600000,0.600000,-0.040000,-1.557780,-6.680000,2.168000,6.000000,7.168192,-0.622664,-244.074677,-238.757045,510.149354,523.759618,5.000000,5.238095,NaN,4.476190,NaN,4.238095,5.000000,NaN,4.000000,NaN,4.055556,5.027778,NaN,3.944444,NaN,2.916667,5.138889,NaN,3.194444,NaN,3.380952,4.523810,NaN,4.095238,NaN,2.857143,4.857143,NaN,3.476190,NaN
20230710143412544.000000,-0.400465,0.299768,2.400000,3.760000,2.400000,3.760000,-0.600000,-3.348225,-0.800000,-1.480000,7.400000,7.168192,-1.505666,-232.288588,-226.506387,486.577176,500.187441,4.857143,3.047619,NaN,NaN,5.047619,3.285714,3.523810,NaN,3.571429,NaN,4.527778,3.361111,NaN,NaN,4.722222,3.361111,3.416667,NaN,2.972222,NaN,4.523810,3.142857,NaN,NaN,5.095238,3.333333,3.714286,NaN,3.523810,NaN
20230710143540968.000000,1.187832,-1.000000,1.640000,1.880000,1.640000,1.880000,-1.000000,-3.604003,-1.600000,1.352000,9.080000,2.267277,-2.156859,-272.485318,-265.395731,566.970637,580.580901,3.761905,5.476190,NaN,NaN,NaN,3.714286,3.476190,NaN,2.190476,3.761905,4.083333,4.000000,NaN,NaN,NaN,2.361111,3.916667,NaN,3.111111,3.861111,4.904762,3.619048,NaN,NaN,NaN,1.809524,3.523810,NaN,2.047619,4.190476
2023071014363491.000000,-1.225095,-0.668821,0.600000,0.800000,0.600000,0.800000,0.200000,-8.208007,-4.600000,0.728000,7.400000,3.084096,-2.094334,-220.275742,-213.095218,462.551483,476.161748,2.238095,3.666667,NaN,4.428571,NaN,2.238095,3.666667,NaN,NaN,3.857143,1.000000,5.250000,NaN,3.527778,NaN,1.916667,5.500000,NaN,NaN,4.194444,1.000000,4.571429,NaN,4.047619,NaN,1.000000,4.523810,NaN,NaN,5.238095
20230710143703760.000000,-0.678785,0.259360,0.920000,1.600000,0.920000,1.600000,-0.680000,0.488444,1.000000,-1.176000,4.600000,7.168192,-2.872764,-234.714045,-227.645179,491.428090,505.038355,3.285714,4.523810,NaN,NaN,4.761905,3.476190,2.619048,NaN,2.714286,NaN,2.666667,4.416667,NaN,NaN,4.722222,2.888889,3.916667,NaN,4.000000,NaN,3.142857,4.333333,NaN,NaN,4.714286,2.714286,4.238095,NaN,2.380952,NaN
20230710143711736.000000,1.264764,5.416831,1.800000,0.440000,1.800000,0.440000,0.120000,-1.046224,1.040000,0.440000,4.600000,3.900915,-1.147714,-234.575033,-228.002672,491.150065,504.760330,3.380952,5.190476,NaN,4.809524,5.285714,3.476190,4.904762,NaN,NaN,NaN,2.861111,4.138889,NaN,4.555556,4.888889,2.916667,4.500000,NaN,NaN,NaN,2.476190,3.333333,NaN,5.238095,4.190476,2.047619,4.714286,NaN,NaN,NaN
20230710143808692.000000,1.547552,0.483061,3.200000,1.240000,3.200000,1.240000,-0.200000,-1.557780,1.160000,-0.600000,6.000000,9.210240,-1.652286,-222.498658,-215.897513,466.997317,480.607581,3.476190,2.714286,NaN,5.190476,NaN,4.571429,4.523810,NaN,NaN,2.952381,3.305556,3.861111,NaN,4.472222,NaN,2.166667,3.277778,NaN,NaN,4.944444,3.619048,3.285714,NaN,4.285714,NaN,3.333333,3.428571,NaN,NaN,5.285714
20230710143833568.000000,0.773406,2.768488,0.680000,0.600000,0.680000,0.600000,0.120000,-7.440673,-0.280000,0.440000,7.400000,3.900915,-1.505666,-232.336590,-225.385231,486.673179,500.283444,4.333333,4.666667,NaN,5.761905,4.619048,2.857143,5.285714,NaN,NaN,NaN,2.055556,4.083333,NaN,4.333333,4.583333,2.166667,5.583333,NaN,NaN,NaN,2.952381,5.285714,NaN,2.000000,4.619048,2.142857,5.285714,NaN,NaN,NaN
20230710143840364.000000,1.205729,1.520833,3.800000,3.680000,3.800000,3.680000,-0.600000,-3.476114,-1.520000,1.304000,1.240000,6.351373,-0.579523,-222.979485,-219.578502,467.958970,481.569234,4.952381,4.047619,NaN,NaN,4.714286,3.904762,2.476190,NaN,4.428571,NaN,4.361111,5.138889,NaN,NaN,5.500000,2.888889,4.527778,NaN,5.138889,NaN,5.000000,4.714286,NaN,NaN,4.476190,4.571429,3.714286,NaN,4.523810,NaN
20230710143908208.000000,0.219066,1.031777,1.880000,1.400000,1.880000,1.400000,-1.160000,1.176888,-6.480000,1.160000,6.000000,5.126144,-0.895427,-270.431059,-264.363183,562.862118,576.472382,3.571429,3.238095,NaN,5.190476,NaN,4.714286,4.238095,NaN,NaN,5.142857,3.166667,4.222222,NaN,4.861111,NaN,4.000000,4.472222,NaN,NaN,3.416667,1.714286,4.428571,NaN,3.666667,NaN,3.476190,4.095238,NaN,NaN,2.857143
20230710143908784.000000,0.772518,0.519301,3.760000,2.400000,3.760000,2.400000,-0.400000,-9.231119,1.000000,1.880000,4.600000,8.801831,-0.579523,-229.469800,-225.239406,480.939600,494.549864,4.571429,5.095238,NaN,4.428571,NaN,4.190476,5.047619,NaN,4.000000,NaN,4.972222,4.694444,NaN,4.472222,NaN,5.138889,4.666667,NaN,4.722222,NaN,5.666667,4.857143,NaN,3.666667,NaN,5.190476,4.285714,NaN,4.952381,NaN
20230710143918232.000000,1.072370,1.201893,3.160000,3.400000,3.160000,3.400000,-0.440000,-3.987670,-0.920000,1.640000,4.600000,5.126144,-0.643141,-235.124305,-230.531160,492.248610,505.858874,5.380952,4.714286,NaN,5.333333,4.380952,3.952381,4.857143,NaN,NaN,NaN,4.250000,5.277778,NaN,4.500000,4.361111,2.500000,5.388889,NaN,NaN,NaN,2.571429,5.285714,NaN,3.666667,4.047619,3.476190,5.190476,NaN,NaN,NaN
20230710143955428.000000,0.924520,0.603767,3.800000,1.800000,3.800000,1.800000,-0.920000,-5.138671,-6.480000,2.696000,7.400000,3.900915,-0.789761,-262.604035,-257.869926,547.208070,560.818334,5.190476,3.523810,NaN,3.476190,NaN,4.000000,4.142857,NaN,NaN,3.238095,4.722222,5.277778,NaN,3.250000,NaN,4.694444,4.500000,NaN,NaN,3.916667,3.809524,5.476190,NaN,4.238095,NaN,2.666667,4.523810,NaN,NaN,5.000000
20230710143956896.000000,-1.000000,-1.794694,0.800000,0.960000,0.800000,0.960000,0.280000,-2.836669,-5.800000,2.120000,6.000000,7.576602,-0.369284,-247.338293,-242.530106,516.676585,530.286849,4.142857,3.142857,NaN,3.666667,NaN,4.571429,4.714286,NaN,NaN,3.571429,2.444444,4.222222,NaN,3.388889,NaN,2.305556,4.166667,NaN,NaN,3.388889,2.238095,4.428571,NaN,2.047619,NaN,2.000000,4.000000,NaN,NaN,3.904762
20230710144001188.000000,2.778854,3.935646,2.400000,0.600000,2.400000,0.600000,-0.400000,-3.604003,-6.800000,3.368000,6.000000,9.210240,-0.916998,-215.962818,-210.052376,453.925635,467.535900,4.000000,6.000000,NaN,5.476190,NaN,5.000000,4.666667,NaN,NaN,4.809524,4.333333,5.833333,NaN,5.194444,NaN,4.166667,4.444444,NaN,NaN,4.527778,5.714286,4.571429,NaN,5.285714,NaN,2.380952,5.428571,NaN,NaN,5.047619
