"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","lps","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710143703760.000000,-0.194350,-0.194350,3.687500,3.687500,1.539721,1.539721,-0.125000,1.000000,-6.000000,0.175000,6.000000,4.932500,-4.000000,-209.235383,-203.866551,440.470765,454.081030,3.285714,4.523810,NaN,NaN,4.761905,3.476190,2.619048,NaN,2.714286,NaN,2.666667,4.416667,NaN,NaN,4.722222,2.888889,3.916667,NaN,4.000000,NaN,3.142857,4.333333,NaN,NaN,4.714286,2.714286,4.238095,NaN,2.380952,NaN
20230710143711736.000000,1.654020,3.954171,2.750000,2.750000,1.116434,1.116434,-0.750000,-2.996531,-1.812500,-1.578125,5.562500,4.932500,-2.000000,-238.592574,-231.638928,499.185148,512.795412,3.380952,5.190476,NaN,4.809524,5.285714,3.476190,4.904762,NaN,NaN,NaN,2.861111,4.138889,NaN,4.555556,4.888889,2.916667,4.500000,NaN,NaN,NaN,2.476190,3.333333,NaN,5.238095,4.190476,2.047619,4.714286,NaN,NaN,NaN
20230710143808692.000000,2.538266,1.000000,3.500000,3.500000,2.386294,2.386294,-0.687500,-1.397918,0.953125,-1.460937,7.750000,8.887500,-3.000000,-219.604545,-213.508774,461.209090,474.819354,3.476190,2.714286,NaN,5.190476,NaN,4.571429,4.523810,NaN,NaN,2.952381,3.305556,3.861111,NaN,4.472222,NaN,2.166667,3.277778,NaN,NaN,4.944444,3.619048,3.285714,NaN,4.285714,NaN,3.333333,3.428571,NaN,NaN,5.285714
20230710143833568.000000,-1.000000,0.731842,-0.062500,-0.062500,0.693147,0.693147,-0.750000,2.598612,-2.375000,2.375000,6.000000,2.955000,-2.750000,-223.907573,-216.750077,469.815145,483.425410,4.333333,4.666667,NaN,5.761905,4.619048,2.857143,5.285714,NaN,NaN,NaN,2.055556,4.083333,NaN,4.333333,4.583333,2.166667,5.583333,NaN,NaN,NaN,2.952381,5.285714,NaN,2.000000,4.619048,2.142857,5.285714,NaN,NaN,NaN
20230710143840364.000000,2.461837,1.954101,3.921875,3.921875,3.761976,3.761976,-1.250000,0.200694,-6.070313,2.375000,4.250000,8.887500,-2.000000,-231.576383,-226.730395,485.152766,498.763030,4.952381,4.047619,NaN,NaN,4.714286,3.904762,2.476190,NaN,4.428571,NaN,4.361111,5.138889,NaN,NaN,5.500000,2.888889,4.527778,NaN,5.138889,NaN,5.000000,4.714286,NaN,NaN,4.476190,4.571429,3.714286,NaN,4.523810,NaN
20230710143908208.000000,0.693147,1.116434,2.937500,2.937500,1.645542,1.645542,-1.250000,2.499133,-3.687500,8.902344,22.625000,5.921250,-2.000000,-268.343157,-262.503156,558.686313,572.296578,3.571429,3.238095,NaN,5.190476,NaN,4.714286,4.238095,NaN,NaN,5.142857,3.166667,4.222222,NaN,4.861111,NaN,4.000000,4.472222,NaN,NaN,3.416667,1.714286,4.428571,NaN,3.666667,NaN,3.476190,4.095238,NaN,NaN,2.857143
20230710143908784.000000,9.014924,2.115754,3.500000,3.500000,3.232868,3.232868,-1.109375,1.000000,6.312500,4.062500,7.203125,8.887500,-2.000000,-237.046006,-231.236800,496.092012,509.702276,4.571429,5.095238,NaN,4.428571,NaN,4.190476,5.047619,NaN,4.000000,NaN,4.972222,4.694444,NaN,4.472222,NaN,5.138889,4.666667,NaN,4.722222,NaN,5.666667,4.857143,NaN,3.666667,NaN,5.190476,4.285714,NaN,4.952381,NaN
20230710143918232.000000,1.529749,0.619039,2.500000,2.500000,1.963008,1.963008,-1.000000,-2.996531,-2.000000,3.500000,9.937500,4.932500,-3.000000,-236.564582,-229.951097,495.129163,508.739427,5.380952,4.714286,NaN,5.333333,4.380952,3.952381,4.857143,NaN,NaN,NaN,4.250000,5.277778,NaN,4.500000,4.361111,2.500000,5.388889,NaN,NaN,NaN,2.571429,5.285714,NaN,3.666667,4.047619,3.476190,5.190476,NaN,NaN,NaN
20230710143955428.000000,0.973385,0.879414,3.218750,3.218750,0.693147,0.693147,-1.250000,-2.996531,3.812500,5.750000,14.750000,8.887500,-3.000000,-262.263956,-256.198685,546.527913,560.138177,5.190476,3.523810,NaN,3.476190,NaN,4.000000,4.142857,NaN,NaN,3.238095,4.722222,5.277778,NaN,3.250000,NaN,4.694444,4.500000,NaN,NaN,3.916667,3.809524,5.476190,NaN,4.238095,NaN,2.666667,4.523810,NaN,NaN,5.000000
20230710143956896.000000,0.666705,6.799972,1.531250,1.531250,1.116434,1.116434,-1.250000,-3.795837,-1.796875,-0.575000,2.500000,4.932500,-3.000000,-246.311232,-239.384093,514.622464,528.232729,4.142857,3.142857,NaN,3.666667,NaN,4.571429,4.714286,NaN,NaN,3.571429,2.444444,4.222222,NaN,3.388889,NaN,2.305556,4.166667,NaN,NaN,3.388889,2.238095,4.428571,NaN,2.047619,NaN,2.000000,4.000000,NaN,NaN,3.904762
20230710144001188.000000,7.540379,3.270189,3.500000,3.500000,1.116434,1.116434,-1.250000,-2.197225,-5.750000,4.906250,7.203125,4.932500,-3.000000,-228.415079,-222.333601,478.830159,492.440423,4.000000,6.000000,NaN,5.476190,NaN,5.000000,4.666667,NaN,NaN,4.809524,4.333333,5.833333,NaN,5.194444,NaN,4.166667,4.444444,NaN,NaN,4.527778,5.714286,4.571429,NaN,5.285714,NaN,2.380952,5.428571,NaN,NaN,5.047619
20230710144025632.000000,0.927987,-0.165507,1.109375,1.109375,1.645542,1.645542,-0.500000,-1.397918,-2.000000,1.100000,6.000000,4.932500,-4.000000,-217.708080,-211.413985,457.416160,471.026424,4.666667,4.285714,NaN,5.285714,4.857143,3.285714,4.952381,NaN,NaN,NaN,2.111111,4.833333,NaN,4.388889,5.111111,2.250000,3.444444,NaN,NaN,NaN,2.333333,4.523810,NaN,5.047619,5.142857,2.333333,4.666667,NaN,NaN,NaN
20230710144042544.000000,0.178394,0.601666,3.687500,3.687500,1.539721,1.539721,-0.312500,-5.594276,1.250000,-1.175000,4.250000,8.887500,-4.000000,-182.505791,-177.160918,387.011582,400.621846,2.809524,3.714286,NaN,NaN,3.571429,3.523810,3.476190,NaN,NaN,3.619048,1.972222,3.722222,NaN,NaN,3.888889,3.027778,3.583333,NaN,NaN,4.000000,3.095238,3.523810,NaN,NaN,3.761905,2.000000,3.428571,NaN,NaN,4.571429
20230710144056728.000000,0.382800,0.944562,2.164063,2.164063,2.174651,2.174651,-0.500000,-2.996531,0.997070,-1.734375,9.500000,3.449375,-3.000000,-238.106140,-231.373247,498.212280,511.822544,2.904762,3.714286,NaN,4.142857,NaN,3.095238,2.904762,NaN,5.238095,NaN,2.166667,4.444444,NaN,2.861111,NaN,3.027778,4.694444,NaN,4.111111,NaN,2.571429,4.095238,NaN,1.857143,NaN,2.333333,4.619048,NaN,4.095238,NaN
20230710144112544.000000,3.494703,-0.375441,-2.574219,-2.574219,1.645542,1.645542,-1.250000,-4.395316,-0.125000,1.250000,4.250000,2.955000,-3.000000,-249.348733,-242.376982,520.697467,534.307731,4.857143,4.333333,NaN,NaN,NaN,3.285714,4.952381,NaN,2.904762,3.714286,3.972222,4.722222,NaN,NaN,NaN,2.472222,3.750000,NaN,2.361111,3.833333,5.333333,4.761905,NaN,NaN,NaN,2.904762,4.619048,NaN,4.190476,4.619048
20230710144153296.000000,0.333364,0.583341,2.750000,2.750000,1.539721,1.539721,-0.125000,-2.996531,-3.500000,-1.600000,6.000000,6.910000,-3.000000,-209.386199,-202.682458,440.772399,454.382663,4.571429,4.857143,NaN,NaN,NaN,2.000000,3.571429,NaN,3.904762,3.761905,1.750000,4.083333,NaN,NaN,NaN,2.444444,4.222222,NaN,3.527778,5.138889,1.809524,3.714286,NaN,NaN,NaN,2.666667,4.238095,NaN,3.619048,3.523810
20230710144200344.000000,3.782370,9.521214,3.921875,3.921875,1.645542,1.645542,-0.265625,-3.995663,-7.437500,19.250000,46.250000,4.932500,-2.000000,-156.432579,-154.693335,334.865157,348.475422,4.714286,5.761905,NaN,4.809524,NaN,6.000000,5.000000,NaN,5.142857,NaN,4.555556,5.944444,NaN,5.805556,NaN,4.861111,5.833333,NaN,6.000000,NaN,5.476190,5.904762,NaN,5.714286,NaN,2.666667,6.000000,NaN,5.571429,NaN
20230710144249236.000000,1.514501,1.121610,3.500000,3.500000,1.116434,1.116434,-0.500000,-2.996531,4.800781,3.725000,14.750000,6.910000,-4.000000,-228.873816,-223.647968,479.747632,493.357896,4.714286,4.238095,NaN,5.666667,4.428571,3.904762,3.428571,NaN,NaN,NaN,2.611111,4.611111,NaN,5.472222,5.000000,3.055556,3.638889,NaN,NaN,NaN,2.238095,4.428571,NaN,5.190476,5.333333,2.333333,3.333333,NaN,NaN,NaN
20230710144354560.000000,5.564679,0.156468,-3.028320,-3.028320,0.269860,0.269860,-1.250000,-2.197225,-3.875000,-1.062500,5.562500,6.910000,-2.750000,-260.180776,-253.122939,542.361553,555.971817,4.142857,3.571429,NaN,NaN,NaN,3.857143,5.238095,NaN,4.190476,5.142857,2.111111,5.250000,NaN,NaN,NaN,1.555556,4.333333,NaN,3.500000,4.305556,3.142857,5.428571,NaN,NaN,NaN,2.095238,3.952381,NaN,3.857143,4.809524
20230710144358212.000000,1.711231,1.168985,0.054688,0.054688,4.079442,4.079442,-1.250000,-2.996531,0.156250,8.112500,3.429688,4.932500,-3.000000,-193.887527,-188.789564,409.775053,423.385318,4.904762,5.571429,NaN,NaN,5.857143,4.285714,5.809524,NaN,NaN,4.190476,5.750000,5.750000,NaN,NaN,4.861111,5.388889,5.944444,NaN,NaN,4.805556,6.000000,6.000000,NaN,NaN,5.000000,5.714286,6.000000,NaN,NaN,5.238095
20230710144419784.000000,6.389846,0.368490,1.000000,1.000000,0.269860,0.269860,0.796875,-1.997398,3.812500,10.250000,30.500000,0.483125,-2.000000,-93.466708,-87.817738,208.933417,222.543681,5.285714,5.761905,NaN,NaN,6.000000,4.571429,6.000000,NaN,NaN,4.857143,1.972222,5.305556,NaN,NaN,6.000000,1.000000,6.000000,NaN,NaN,5.500000,1.238095,6.000000,NaN,NaN,6.000000,1.000000,6.000000,NaN,NaN,4.952381
202307101444226.000000,-0.205466,0.499661,-5.187500,-5.187500,1.645542,1.645542,-0.875000,-6.193755,5.750000,3.875000,14.750000,2.955000,-3.000000,-235.989576,-229.472480,493.979152,507.589416,2.476190,5.761905,NaN,5.523810,NaN,3.952381,4.476190,NaN,NaN,4.904762,1.583333,4.583333,NaN,3.777778,NaN,1.972222,5.500000,NaN,NaN,4.777778,1.380952,2.476190,NaN,3.333333,NaN,1.428571,4.142857,NaN,NaN,5.952381
2023071014442474.000000,-3.359805,1.405501,4.000000,4.000000,2.809581,2.809581,-1.250000,-9.790633,-5.000000,-2.000000,4.250000,11.359375,-3.000000,-217.997033,-212.891197,457.994066,471.604331,3.523810,4.000000,NaN,NaN,NaN,3.000000,3.238095,NaN,3.000000,3.000000,5.000000,4.138889,NaN,NaN,NaN,3.000000,3.555556,NaN,3.000000,3.166667,3.523810,5.523810,NaN,NaN,NaN,3.000000,3.190476,NaN,3.000000,3.000000
20230710144438752.000000,6.173128,1.550446,1.367188,1.367188,0.269860,0.269860,0.156250,-1.997398,-1.460938,10.390625,33.453125,1.966250,-3.000000,-204.806679,-199.581627,431.613359,445.223623,6.000000,5.904762,NaN,5.142857,NaN,3.523810,5.476190,NaN,NaN,5.476190,5.750000,5.277778,NaN,3.361111,NaN,1.166667,4.888889,NaN,NaN,5.555556,1.095238,6.000000,NaN,2.619048,NaN,1.333333,5.428571,NaN,NaN,5.714286
20230710144504776.000000,0.904791,1.223886,3.500000,3.500000,1.645542,1.645542,-0.125000,-5.993929,-0.589844,-0.107422,2.937500,8.887500,-3.000000,-174.563098,-168.327812,371.126197,384.736461,3.571429,4.428571,NaN,5.095238,NaN,3.523810,3.666667,NaN,NaN,4.904762,2.722222,4.611111,NaN,3.722222,NaN,3.194444,4.111111,NaN,NaN,4.638889,3.095238,4.857143,NaN,3.523810,NaN,3.000000,4.238095,NaN,NaN,3.904762
20230710144505448.000000,-0.355942,0.541304,3.687500,3.687500,1.963008,1.963008,-0.312500,-2.197225,-0.437500,-0.462500,3.375000,8.887500,-3.500000,-181.240717,-175.518016,384.481434,398.091698,3.000000,4.047619,NaN,2.523810,3.190476,3.000000,3.714286,NaN,NaN,NaN,3.138889,3.527778,NaN,2.583333,3.611111,3.000000,3.861111,NaN,NaN,NaN,3.142857,3.952381,NaN,2.095238,3.809524,3.190476,3.666667,NaN,NaN,NaN
20230710144526536.000000,1.400056,-1.291647,4.273438,4.273438,4.079442,4.079442,-1.812500,-2.996531,-2.164063,7.437500,23.609375,8.887500,-3.000000,-262.999761,-261.071327,547.999522,561.609786,4.523810,1.666667,NaN,3.476190,NaN,4.571429,3.952381,NaN,3.809524,NaN,5.305556,4.750000,NaN,4.666667,NaN,3.472222,3.500000,NaN,3.444444,NaN,4.619048,5.047619,NaN,5.047619,NaN,1.571429,3.333333,NaN,3.190476,NaN
20230710144532216.000000,1.123216,1.123216,3.500000,3.500000,2.386294,2.386294,-0.687500,-1.997398,6.437500,4.062500,8.843750,11.359375,-4.000000,-188.491539,-183.251381,398.983077,412.593342,4.857143,4.714286,NaN,4.571429,NaN,4.809524,4.428571,NaN,4.714286,NaN,4.944444,5.083333,NaN,4.944444,NaN,4.305556,4.944444,NaN,4.722222,NaN,5.523810,4.619048,NaN,4.714286,NaN,5.000000,5.238095,NaN,4.952381,NaN
20230710144539288.000000,8.400191,1.307320,-3.687500,-3.687500,1.539721,1.539721,0.156250,-2.197225,5.000000,-4.937500,23.500000,2.955000,-2.000000,-196.909996,-190.630099,415.819992,429.430256,3.714286,4.047619,NaN,NaN,5.952381,6.000000,5.333333,NaN,NaN,4.761905,1.000000,5.000000,NaN,NaN,5.305556,1.972222,5.194444,NaN,NaN,5.861111,1.476190,4.142857,NaN,NaN,5.952381,1.000000,5.476190,NaN,NaN,6.000000
20230710144558588.000000,1.335001,1.335001,3.687500,3.687500,1.963008,1.963008,-0.125000,-1.997398,0.000000,3.125000,12.125000,6.415625,-4.000000,-190.847560,-185.729630,403.695120,417.305384,4.761905,4.809524,NaN,5.571429,5.000000,5.000000,3.333333,NaN,NaN,NaN,5.250000,4.611111,NaN,5.305556,4.916667,4.472222,4.166667,NaN,NaN,NaN,4.047619,4.428571,NaN,5.000000,5.095238,2.285714,4.904762,NaN,NaN,NaN
2023071014455863.000000,-0.694928,-1.259903,-2.875000,-2.875000,2.174651,2.174651,0.250000,-2.996531,-2.500000,1.250000,6.000000,2.955000,-2.000000,-185.129623,-178.010992,392.259245,405.869509,2.666667,3.857143,NaN,3.047619,NaN,2.761905,4.190476,NaN,3.428571,NaN,2.166667,4.944444,NaN,2.361111,NaN,1.694444,4.694444,NaN,4.305556,NaN,2.619048,5.428571,NaN,1.952381,NaN,1.380952,5.190476,NaN,3.095238,NaN
20230710144635556.000000,0.870444,6.014164,3.500000,3.500000,1.116434,1.116434,-1.000000,-2.996531,2.750000,2.300000,6.000000,8.887500,-3.000000,-229.653806,-223.449395,481.307612,494.917876,3.714286,4.809524,NaN,5.190476,5.285714,3.285714,5.000000,NaN,NaN,NaN,4.333333,4.861111,NaN,5.361111,5.416667,2.333333,4.833333,NaN,NaN,NaN,4.714286,5.000000,NaN,4.000000,5.238095,4.142857,5.000000,NaN,NaN,NaN
2023071014465075.000000,4.361155,-0.614704,3.687500,3.687500,3.444511,3.444511,-1.062500,-2.197225,-2.375000,1.700000,7.750000,6.415625,-2.000000,-229.910754,-224.321672,481.821509,495.431773,4.904762,5.238095,NaN,4.666667,6.000000,3.761905,2.857143,NaN,NaN,NaN,5.194444,5.000000,NaN,3.777778,5.888889,2.166667,3.250000,NaN,NaN,NaN,5.380952,5.428571,NaN,2.857143,4.523810,1.952381,4.095238,NaN,NaN,NaN
2023071014465139.000000,6.857816,1.828814,2.867188,2.867188,3.232868,3.232868,-2.000000,-2.996531,-5.000000,4.400000,9.500000,8.887500,-3.000000,-264.537115,-258.601705,551.074229,564.684493,4.666667,4.238095,NaN,5.238095,NaN,5.047619,4.380952,NaN,3.714286,NaN,4.500000,4.555556,NaN,4.972222,NaN,2.833333,5.444444,NaN,4.583333,NaN,2.952381,5.333333,NaN,4.857143,NaN,1.666667,4.619048,NaN,2.809524,NaN
20230710144716160.000000,-1.552931,1.000000,-5.250000,-5.250000,0.587325,0.587325,-0.406250,-2.596878,4.062500,2.000000,29.625000,-0.011250,-3.000000,-195.513307,-189.619462,413.026614,426.636878,1.857143,5.428571,NaN,5.047619,4.952381,3.238095,4.238095,NaN,NaN,NaN,2.111111,5.694444,NaN,2.861111,5.416667,1.083333,6.000000,NaN,NaN,NaN,1.000000,5.666667,NaN,2.666667,5.380952,1.000000,5.571429,NaN,NaN,NaN
20230710144735792.000000,2.049021,1.744119,4.000000,4.000000,2.386294,2.386294,-0.312500,-1.397918,0.687500,6.350000,22.625000,8.887500,-3.000000,-205.329395,-200.790213,432.658790,446.269054,4.142857,3.904762,NaN,4.428571,NaN,5.095238,4.333333,NaN,NaN,5.238095,3.027778,3.888889,NaN,4.666667,NaN,4.861111,3.694444,NaN,NaN,5.305556,3.000000,3.809524,NaN,4.809524,NaN,3.095238,4.190476,NaN,NaN,5.619048
20230710144747968.000000,0.626739,-0.457754,2.000000,2.000000,1.116434,1.116434,-0.750000,-4.994796,6.187500,3.500000,6.000000,6.910000,-3.000000,-199.057092,-192.245961,420.114184,433.724448,4.761905,5.142857,NaN,NaN,5.047619,3.285714,5.666667,NaN,NaN,4.285714,4.250000,5.888889,NaN,NaN,5.083333,2.888889,5.805556,NaN,NaN,4.944444,4.190476,4.952381,NaN,NaN,5.523810,2.857143,6.000000,NaN,NaN,4.761905
20230710144800864.000000,0.412531,1.406433,-3.218750,-3.218750,1.645542,1.645542,-0.500000,-6.993061,-0.625000,-1.000000,4.250000,3.943750,-2.750000,-215.588452,-208.524893,453.176905,466.787169,3.809524,2.714286,NaN,3.476190,5.190476,5.000000,3.428571,NaN,NaN,NaN,2.444444,3.416667,NaN,4.027778,4.833333,2.833333,4.194444,NaN,NaN,NaN,2.095238,2.809524,NaN,2.809524,5.238095,1.380952,4.761905,NaN,NaN,NaN
20230710144803116.000000,1.211683,1.477085,2.750000,2.750000,1.116434,1.116434,-0.500000,-2.197225,5.750000,-1.121875,9.937500,6.415625,-3.000000,-244.944062,-238.332768,511.888123,525.498387,5.285714,2.000000,NaN,5.000000,NaN,2.857143,3.714286,NaN,5.190476,NaN,4.000000,4.500000,NaN,4.611111,NaN,1.361111,2.611111,NaN,5.305556,NaN,2.000000,4.619048,NaN,4.904762,NaN,2.000000,3.428571,NaN,5.000000,NaN
20230710144806472.000000,-1.500058,0.349979,2.375000,2.375000,1.645542,1.645542,-1.000000,7.394449,0.750000,-1.156250,6.000000,8.887500,-2.000000,-249.362318,-242.390717,520.724637,534.334901,3.238095,4.619048,NaN,3.000000,NaN,4.285714,3.952381,NaN,3.523810,NaN,2.444444,4.861111,NaN,2.916667,NaN,3.333333,3.944444,NaN,3.583333,NaN,1.714286,4.380952,NaN,3.809524,NaN,3.142857,4.047619,NaN,3.714286,NaN
20230710144836704.000000,-1.267063,0.149851,-5.750000,-5.750000,1.116434,1.116434,0.250000,-5.993929,-5.750000,1.250000,6.000000,2.955000,-4.000000,-164.314995,-158.122950,350.629990,364.240254,2.333333,3.380952,NaN,3.952381,NaN,2.904762,5.000000,NaN,NaN,4.380952,1.027778,4.055556,NaN,3.055556,NaN,1.111111,5.861111,NaN,NaN,4.805556,1.000000,5.285714,NaN,3.285714,NaN,1.142857,6.000000,NaN,NaN,5.761905
20230710144904880.000000,-1.500000,-0.279844,2.515625,2.515625,1.539721,1.539721,-1.000000,-2.996531,-3.375000,2.375000,6.000000,8.887500,-2.000000,-241.737445,-234.785304,505.474889,519.085154,3.809524,5.142857,NaN,NaN,3.904762,4.285714,4.047619,NaN,NaN,4.761905,1.388889,4.638889,NaN,NaN,4.166667,3.805556,4.194444,NaN,NaN,3.638889,2.666667,4.000000,NaN,NaN,4.809524,3.142857,4.666667,NaN,NaN,4.095238
