"posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LP","LL","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
1.098612,0.000000,0.500000,0.500000,0.693147,0.693147,1.609438,-6.193755,0.000000,0.000000,6.000000,8.500000,-75.849722,-81.635755,177.271510,185.932587,4.109091,6.000000,2.963636,5.672727,NaN,1.945455,4.090909,NaN,2.800000,3.945455,2.600000,6.000000,1.000000,3.909091,NaN,1.218182,4.890909,NaN,2.981818,5.200000
0.000000,-0.847298,0.250000,0.250000,0.693147,0.693147,0.916291,-6.193755,0.000000,0.500000,9.500000,8.500000,-119.763176,-125.480496,264.960992,273.622069,2.127273,5.872727,2.090909,5.381818,NaN,1.527273,3.672727,NaN,1.854545,2.945455,2.109091,6.000000,1.000000,4.345455,NaN,1.054545,4.963636,NaN,2.890909,5.090909
