"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL"
1.000000,0.750000,0.500000,1.000000,1.000000,2.000000,2.000000,5.000000,0.100000,0.500000,0.000000,6.000000,0.999800,-82.157867
2.000000,0.500000,0.300000,1.000000,1.000000,2.000000,2.000000,2.500000,0.100000,0.500000,0.000000,6.000000,0.999800,-128.751096
