width,height,subject_nr,avatar_file,gender,other_ratee,block_nr,rater_name,rater_file,ratee_type,ratee_name,ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,comment,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,rater_avatar
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,0,1,1,generous,greedy,generous,generous,greedy,50,greedy,false,false,,1682619207667,1682619209832,1682619246569,1682619273427,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,1,1,1,focused,distracted,focused,focused,distracted,25,focused,true,true,,1682619207667,1682619209832,1682619281496,1682619291540,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,2,0,0,polite,rude,rude,rude,polite,100,polite,true,false,,1682619207667,1682619209832,1682619294264,1682619299845,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,3,1,1,friendly,hostile,friendly,friendly,hostile,25,friendly,true,true,,1682619207667,1682619209832,1682619302402,1682619338956,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,4,0,1,organised,disorganised,organised,disorganised,organised,96,organised,true,true,,1682619207667,1682619209832,1682619341341,1682619350401,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,5,0,1,relaxed,tense,relaxed,tense,relaxed,50,relaxed,true,true,,1682619207667,1682619209832,1682619353738,1682619358339,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,6,1,0,versatile,inflexible,inflexible,versatile,inflexible,96,inflexible,false,true,,1682619207667,1682619209832,1682619360769,1682619379388,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,7,0,1,fun,boring,fun,boring,fun,26,boring,false,false,,1682619207667,1682619209832,1682619381801,1682619393731,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,8,0,0,wise,naive,naive,naive,wise,75,wise,true,false,,1682619207667,1682619209832,1682619396019,1682619420535,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,9,0,1,supportive,critical,supportive,critical,supportive,100,supportive,true,true,,1682619207667,1682619209832,1682619422653,1682619434778,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,10,0,1,confident,self-doubting,confident,self-doubting,confident,99,confident,true,true,,1682619207667,1682619209832,1682619436577,1682619449737,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,11,1,1,mature,childish,mature,mature,childish,5,mature,true,true,,1682619207667,1682619209832,1682619451135,1682619457424,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,12,0,1,caring,indifferent,caring,indifferent,caring,98,caring,true,true,,1682619207667,1682619209832,1682619459705,1682619475293,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,13,1,1,active,lazy,active,active,lazy,1,active,true,true,,1682619207667,1682619209832,1682619477354,1682619484293,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,14,1,0,trustworthy,untrustworthy,untrustworthy,trustworthy,untrustworthy,24,trustworthy,true,false,,1682619207667,1682619209832,1682619486135,1682619494187,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,15,0,1,exceptional,mediocre,exceptional,mediocre,exceptional,50,exceptional,true,true,,1682619207667,1682619209832,1682619495982,1682619511696,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,16,1,1,diligent,thoughtless,diligent,diligent,thoughtless,100,thoughtless,false,false,,1682619207667,1682619209832,1682619513687,1682619524526,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,17,0,1,consistent,inconsistent,consistent,inconsistent,consistent,73,consistent,true,true,,1682619207667,1682619209832,1682619526092,1682619533980,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,18,1,1,sociable,avoidant,sociable,sociable,avoidant,23,sociable,true,true,,1682619207667,1682619209832,1682619535575,1682619542271,,,,,male10
1366,768,3,male5,m,,0,Jason,,other,Mo,male9,like,-99,1,1,precise,clumsy,precise,precise,clumsy,27,precise,true,true,,1682619207667,1682619209832,1682619543758,1682619551311,0,50,1682619552895,1682619575881,male10
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,0,1,0,helpful,selfish,selfish,helpful,selfish,28,helpful,true,false,,1682619207667,1682619575882,1682619586381,1682619606114,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,1,0,0,brave,cowardly,cowardly,cowardly,brave,100,brave,true,false,,1682619207667,1682619575882,1682619610265,1682619620132,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,2,0,0,patient,impatient,impatient,impatient,patient,50,patient,true,false,,1682619207667,1682619575882,1682619622698,1682619631603,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,3,1,1,enthusiastic,unenthusiastic,enthusiastic,enthusiastic,unenthusiastic,28,enthusiastic,true,true,,1682619207667,1682619575882,1682619633175,1682619645100,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,4,0,1,imaginative,uninventive,imaginative,uninventive,imaginative,76,imaginative,true,true,,1682619207667,1682619575882,1682619648033,1682619653682,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,5,1,0,rational,unrealistic,unrealistic,rational,unrealistic,50,unrealistic,false,true,,1682619207667,1682619575882,1682619655505,1682619666743,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,6,1,1,lively,inactive,lively,lively,inactive,25,lively,true,true,,1682619207667,1682619575882,1682619668991,1682619679472,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,7,1,0,smart,foolish,foolish,smart,foolish,50,foolish,false,true,,1682619207667,1682619575882,1682619681506,1682619687145,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,8,1,1,trusting,suspicious,trusting,trusting,suspicious,25,trusting,true,true,,1682619207667,1682619575882,1682619688808,1682619694488,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,9,1,0,tactful,tactless,tactless,tactful,tactless,31,tactful,true,false,,1682619207667,1682619575882,1682619697513,1682619721325,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,10,0,1,alert,inattentive,alert,inattentive,alert,81,alert,true,true,,1682619207667,1682619575882,1682619722849,1682619727456,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,11,0,0,committed,uncomitted,uncomitted,uncomitted,committed,73,committed,true,false,,1682619207667,1682619575882,1682619728862,1682619733845,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,12,1,1,approachable,unfriendly,approachable,approachable,unfriendly,27,approachable,true,true,,1682619207667,1682619575882,1682619735057,1682619740728,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,13,0,1,encouraging,negative,encouraging,negative,encouraging,78,encouraging,true,true,,1682619207667,1682619575882,1682619742053,1682619749138,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,14,1,0,peaceful,argumentative,argumentative,peaceful,argumentative,25,peaceful,true,false,,1682619207667,1682619575882,1682619750970,1682619755431,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,15,0,1,warm-hearted,uncaring,warm-hearted,uncaring,warm-hearted,76,warm-hearted,true,true,,1682619207667,1682619575882,1682619759700,1682619764419,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,16,0,0,responsible,reckless,reckless,reckless,responsible,75,responsible,true,false,,1682619207667,1682619575882,1682619767231,1682619774185,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,17,0,1,flexible,strict,flexible,strict,flexible,30,strict,false,false,,1682619207667,1682619575882,1682619775801,1682619782460,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,18,0,1,pleasant,obnoxious,pleasant,obnoxious,pleasant,75,pleasant,true,true,,1682619207667,1682619575882,1682619784807,1682619801893,,,,,female13
1366,768,3,male5,m,,1,Kate,,you,Mo,male9,neutral,-99,1,0,tidy,messy,messy,tidy,messy,28,tidy,true,false,,1682619207667,1682619575882,1682619804098,1682619815087,1,78,1682619817287,1682619823178,female13
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,0,0,0,curious,closed-minded,closed-minded,closed-minded,curious,50,curious,true,false,,1682619207667,1682619823179,1682619829788,1682619836980,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,1,1,0,talented,ordinary,ordinary,talented,ordinary,26,talented,true,false,,1682619207667,1682619823179,1682619838856,1682619846496,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,2,1,1,motivated,aimless,motivated,motivated,aimless,33,motivated,true,true,,1682619207667,1682619823179,1682619848980,1682619866790,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,3,1,0,modest,smug,smug,modest,smug,33,modest,true,false,,1682619207667,1682619823179,1682619868573,1682619878066,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,4,0,0,easygoing,irritable,irritable,irritable,easygoing,77,easygoing,true,false,,1682619207667,1682619823179,1682619880266,1682619894847,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,5,0,1,competent,incompetent,competent,incompetent,competent,50,competent,true,true,,1682619207667,1682619823179,1682619896942,1682619905458,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,6,0,0,honest,dishonest,dishonest,dishonest,honest,76,honest,true,false,,1682619207667,1682619823179,1682619906945,1682619911958,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,7,1,0,gentle,harsh,harsh,gentle,harsh,29,gentle,true,false,,1682619207667,1682619823179,1682619913960,1682619921981,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,8,1,0,cooperative,unhelpful,unhelpful,cooperative,unhelpful,34,cooperative,true,false,,1682619207667,1682619823179,1682619923852,1682619943790,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,9,1,0,outgoing,unsociable,unsociable,outgoing,unsociable,32,outgoing,true,false,,1682619207667,1682619823179,1682619946097,1682619967069,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,10,0,0,thoughtful,inconsiderate,inconsiderate,inconsiderate,thoughtful,77,thoughtful,true,false,,1682619207667,1682619823179,1682619969234,1682619976363,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,11,1,0,fair,bossy,bossy,fair,bossy,50,bossy,false,true,,1682619207667,1682619823179,1682619978103,1682619982363,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,12,1,0,logical,irrational,irrational,logical,irrational,28,logical,true,false,,1682619207667,1682619823179,1682619983979,1682619988209,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,13,0,0,sensible,immature,immature,immature,sensible,75,sensible,true,false,,1682619207667,1682619823179,1682619989924,1682619997639,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,14,0,0,accurate,sloppy,sloppy,sloppy,accurate,74,accurate,true,false,,1682619207667,1682619823179,1682619999248,1682620007215,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,15,1,0,sympathetic,mean,mean,sympathetic,mean,29,sympathetic,true,false,,1682619207667,1682619823179,1682620008670,1682620012997,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,16,1,1,loyal,disloyal,loyal,loyal,disloyal,27,loyal,true,true,,1682619207667,1682619823179,1682620020120,1682620024401,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,17,0,0,productive,unproductive,unproductive,unproductive,productive,75,productive,true,false,,1682619207667,1682619823179,1682620026207,1682620031861,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,18,0,0,witty,dull,dull,dull,witty,72,witty,true,false,,1682619207667,1682619823179,1682620033583,1682620047784,,,,,female14
1366,768,3,male5,m,,2,Dora,,you,Mo,male9,dislike,-99,0,1,settled,restless,settled,restless,settled,50,settled,true,true,,1682619207667,1682619823179,1682620057869,1682620062925,0,62,1682620064850,1682620069692,female14
1366,768,3,male5,m,,3,Amy,,other,Mo,male9,dislike,0,1,0,bold,timid,timid,bold,timid,36,bold,true,false,,1682619207667,1682620069693,1682620075528,1682620081549,,,,,female11
1366,768,3,male5,m,,3,Amy,,other,Mo,male9,dislike,1,1,0,reliable,unreliable,unreliable,reliable,unreliable,37,reliable,true,false,,1682619207667,1682620069693,1682620083701,1682620090116,,,,,female11
